name,link,image,description,reference,price_tunisianet,availability_tunisianet,price_mytek,availability_mytek,link_mytek
Pc portable Asus Vivobook E210MA / Dual Core / 4 Go / Noir,https://www.tunisianet.com.tn/pc-portable-tunisie/55249-pc-portable-asus-vivobook-e210ma-dual-core-4-go-noir.html,https://www.tunisianet.com.tn/241665-home/pc-portable-asus-vivobook-e210ma-dual-core-4-go-noir.jpg,"Ecran 11.6"" HD LED - Processeur Intel Celeron N4020, up to 2.8 GHz, 4 Mo de Mémoire Cache - Mémoire 4 Go - Disque 128 Go SSD - Carte graphique Intel UHD Graphics - Wifi - Bluetooth - Webcam - 1x Type-A USB 3.1 - 1x Type-C USB 3.1 - 1x USB 2.0 - Lecteur de cartes - Clavier Chiclet - Windows 10 - Couleur Noir - Garantie 1 an",E210MA-GJ338T,"479,000 DT",En stock,"479,000 DT",En stock,https://www.mytek.tn/pc-portable-asus-e210ma-intel-celeron-n4020-4go-128-go-emmc-noir-e210ma-gj338t.html
Pc portable Asus Vivobook E210MA / Dual Core / 4 Go / Blanc,https://www.tunisianet.com.tn/pc-portable-tunisie/55251-pc-portable-asus-vivobook-e210ma-dual-core-4-go-blanc.html,https://www.tunisianet.com.tn/241689-home/pc-portable-asus-vivobook-e210ma-dual-core-4-go-blanc.jpg,"Ecran 11.6"" HD LED - Processeur Intel Celeron N4020, up to 2.8 GHz, 4 Mo de Mémoire Cache - Mémoire 4 Go - Disque 128 Go SSD - Carte graphique Intel UHD Graphics - Wifi - Bluetooth - Webcam - 1x Type-A USB 3.1 - 1x Type-C USB 3.1 - 1x USB 2.0 - Lecteur de cartes - Clavier Chiclet - Windows 10 - Couleur Blanc - Garantie 1 an",E210MA-GJ334T,"479,000 DT",En stock,,,
PC Portable ASUS Chromebook C204 / Celeron N4020 / 4 Go / Gris,https://www.tunisianet.com.tn/pc-portable-tunisie/56964-pc-portable-asus-chromebook-c204-celeron-n4020-4-go-gris.html,https://www.tunisianet.com.tn/254631-home/pc-portable-asus-chromebook-c204-celeron-n4020-4-go-gris.jpg,"Ecran 11.6"" HD LED - Processeur Intel celeron N4020, up to 2,8 GHz, 4 Mo de Mémoire Cache - Mémoire 4 Go - Disque 32 Go - Carte graphique Intel UHD Graphics 600 - Wifi - Bluetooth 5.0 - Webcam HD - Clavier Chiclet - Type-A USB 3.2 - Type-C USB 3.1 - Lecteur de cartes - Clavier Chiclet - Chrome OS - Couleur Gris - Garantie 1 an",C204MA-GJ0203,"535,000 DT",En stock,"535,000 DT",Epuisé,https://www.mytek.tn/pc-portable-asus-chromebook-c204-n4020-4go-32-go-emmc-gris.html
PC Portable Lenovo V15 / AMD 3020e / 4 Go,https://www.tunisianet.com.tn/pc-portable-tunisie/49776-pc-portable-lenovo-v15-amd-3020e-4-go-sac-a-dos-ou-sacoche-lenovo-gratuit.html,https://www.tunisianet.com.tn/204244-home/pc-portable-lenovo-v15-amd-3020e-4-go-sac-a-dos-ou-sacoche-lenovo-gratuit.jpg,"Ecran 15.6"" LED HD - Processeur AMD 3020e , up to 2.6 GHz, 4 Mo de cache - Mémoire 4 Go - Disque 1 To - Carte graphique AMD Radeon Graphics - Wifi - Bluetooth - Lecteur de cartes - HDMI - 2x USB 3.1 - 1x USB 2.0 - Webcam HD - Couleur Gris - Garantie 1 an",82C7007YFE,"575,000 DT",En stock,"575,000 DT",En stock,https://www.mytek.tn/pc-portable-lenovo-v15-ada-amd-3020e-4go-1to-hdd.html
Pc Portable Lenovo V15 IGL / Dual Core / 4 Go,https://www.tunisianet.com.tn/pc-portable-tunisie/51363-pc-portable-lenovo-v15-igl-dual-core-4-go.html,https://www.tunisianet.com.tn/214534-home/pc-portable-lenovo-v15-igl-dual-core-4-go.jpg,"Ecran 15.6"" LED HD - Processeur Intel Celeron Dual Core N4020, up to 2.8 GHz, 4 Mo de mémoire cache - Mémoire 4 Go - Disque 1To - Carte graphique Intel UHD Graphics 600 - Wifi - Bluetooth - 2x USB 3.1 Gen 1 - 1x HDMI - Lecteur de cartes - Webcam HD - Garantie 1 an",82C30009FE,"585,000 DT",En stock,,,
Pc Portable Lenovo IdeaPad 3 15IGL05 / Dual Core / 4 Go / Noir,https://www.tunisianet.com.tn/pc-portable-tunisie/52830-pc-portable-lenovo-ideapad-3-15igl05-dual-core-4-go-noir.html,https://www.tunisianet.com.tn/224338-home/pc-portable-lenovo-ideapad-3-15igl05-dual-core-4-go-noir.jpg,"Ecran 15.6"" HD LED - Processeur Intel Celeron Dual Core N4020, 2.8 Ghz, 4 Mo de mémoire cache - Mémoire 4 Go - Disque 1 To - Carte graphique Intel UHD Graphics - Wifi - Bluetooth 5.0 - Webcam HD avec Micro - HDMI - USB 3.2 - Couleur Noir - Garantie 1 an",81WQ0049FE,"599,000 DT",En stock,,,
PC Portable Asus Vivobook E410MA / Dual Core / 4 Go / Noir,https://www.tunisianet.com.tn/pc-portable-tunisie/56253-pc-portable-asus-vivobook-e410ma-dual-core-4-go-noir.html,https://www.tunisianet.com.tn/249098-home/pc-portable-asus-vivobook-e410ma-dual-core-4-go-noir.jpg,"Ecran 14"" HD LED - Processeur Intel celeron N4020, up to 2,8 GHz, 4 Mo de Mémoire Cache - Mémoire 4 Go - Disque SSD 128 Go - Carte graphique Intel UHD Graphics 600 - Wifi - Bluetooth - Webcam - Type-A USB 3.1 - Type-C USB 3.1 - USB 2.0 - Lecteur de cartes - Clavier Chiclet - Windows 11 - Couleur Noir - Garantie 1 an",E410MA-BV1183W,"599,000 DT",En stock,"599,000 DT",En stock,https://www.mytek.tn/pc-portable-asus-e410ma-intel-celeron-n4020-4go-128-go-emmc-noir.html
PC portable Asus Vivobook E410KA / Dual Core / 4 Go / Bleu,https://www.tunisianet.com.tn/pc-portable-tunisie/61283-pc-portable-asus-vivobook-e410ka-dual-core-4-go-bleu.html,https://www.tunisianet.com.tn/284270-home/pc-portable-asus-vivobook-e410ka-dual-core-4-go-bleu.jpg,"Ecran 14"" Full HD LED - Processeur Intel celeron N4500, up to 2,8 GHz, 4 Mo de Mémoire Cache - Mémoire 4 Go - Disque 128 Go - Carte graphique Intel UHD Graphics - Wifi - Bluetooth - Webcam - Type-A USB 3.1 - Type-C USB 3.1 - USB 2.0 - Lecteur de cartes - Clavier Chiclet - Windows 11 - Couleur Bleu - Garantie 1 an",E410KA-BV258W,"599,000 DT",En stock,"599,000 DT",En arrivage,https://www.mytek.tn/pc-portable-asus-e410ka-intel-celeron-n4500-4go-128-go-emmc-bleu.html
PC portable Asus Vivobook E410KA / Dual Core / 4 Go / Blanc,https://www.tunisianet.com.tn/pc-portable-tunisie/61282-pc-portable-asus-vivobook-e410ka-dual-core-4-go-rose.html,https://www.tunisianet.com.tn/284264-home/pc-portable-asus-vivobook-e410ka-dual-core-4-go-rose.jpg,"Ecran 14"" Full HD LED - Processeur Intel celeron N4500, up to 2,8 GHz, 4 Mo de Mémoire Cache - Mémoire 4 Go - Disque 128 Go - Carte graphique Intel UHD Graphics - Wifi - Bluetooth - Webcam - Type-A USB 3.1 - Type-C USB 3.1 - USB 2.0 - Lecteur de cartes - Clavier Chiclet - Windows 11 - Couleur Rose - Garantie 1 an",E410KA-BV283W,"599,000 DT",En stock,"599,000 DT",En arrivage,https://www.mytek.tn/pc-portable-asus-e410ka-intel-celeron-n4500-4go-128-go-emmc-blanc.html
PC PORTABLE LENOVO IdeaPad 3 15IGL05 / Dual Core / 4Go / Windows 11 / Noir,https://www.tunisianet.com.tn/pc-portable-tunisie/60730-pc-portable-lenovo-ip3-n4020-dual-core-4go-noir.html,https://www.tunisianet.com.tn/281513-home/pc-portable-lenovo-ip3-n4020-dual-core-4go-noir.jpg,"Écran 15.6"" Full HD - Processeur Intel Celeron N4020, up to 2.8 Ghz, 4 Mo de cache - Mémoire 4 Go - Disque 1To - Carte graphique Intel UHD Graphics 600, 4 Go de mémoire DDR4 - Wifi - Bluetooth 5.0 - 2x USB 3.2 - HDMI - Jack 3.5  - Windows 11 - Couleur Noir - Garantie 1 an",81WQ005RFG,"609,000 DT",En stock,,,
Pc Portable Lenovo V15 IGL / Dual Core / 4 Go,https://www.tunisianet.com.tn/pc-portable-tunisie/60489-pc-portable-lenovo-v15-igl-dual-core-4-go.html,https://www.tunisianet.com.tn/280351-home/pc-portable-lenovo-v15-igl-dual-core-4-go.jpg,"Ecran 15.6"" LED HD - Processeur Intel Celeron Dual Core N4020, up to 2.8 GHz, 4 Mo de mémoire cache - Mémoire 4 Go - Disque 128 Go SSD - Carte graphique Intel UHD Graphics 600 - Wifi - Bluetooth - 2x USB 3.1 Gen 1 - 1x HDMI - Lecteur de cartes - Webcam HD - Garantie 1 an",82C30009FE128SSD,"620,000 DT",En stock,,,
Pc Portable Lenovo V15 IGL / Dual Core / 4 Go,https://www.tunisianet.com.tn/pc-portable-tunisie/61334-pc-portable-lenovo-v15-igl-dual-core-4-go.html,https://www.tunisianet.com.tn/284589-home/pc-portable-lenovo-v15-igl-dual-core-4-go.jpg,"Ecran 15.6"" LED HD - Processeur Intel Celeron Dual Core N4020, up to 2.8 GHz, 4 Mo de mémoire cache - Mémoire 4 Go - Disque SSD 128 Go - Carte graphique Intel UHD Graphics 600 - Wifi - Bluetooth - 2x USB 3.1 Gen 1 - 1x HDMI - Lecteur de cartes - Webcam HD - Garantie 1 an",82C30009FE128SSD,"620,000 DT",En stock,,,
PC Portable Lenovo V15 / AMD 3020e / 8 Go,https://www.tunisianet.com.tn/pc-portable-tunisie/49777-pc-portable-lenovo-v15-amd-3020e-8-go.html,https://www.tunisianet.com.tn/204249-home/pc-portable-lenovo-v15-amd-3020e-8-go.jpg,"Ecran 15.6"" LED HD - Processeur AMD 3020e , up to 2.6 GHz, 4 Mo de cache - Mémoire 8 Go - Disque 1 To - Carte graphique AMD Radeon Graphics - Wifi - Bluetooth - Lecteur de cartes - HDMI - 2x USB 3.1 - 1x USB 2.0 - Webcam HD - Couleur Gris - Garantie 1 an",82C7007YFE-8,"625,000 DT",En stock,,,
Pc Portable Lenovo V15 IGL / Dual Core / 4 Go,https://www.tunisianet.com.tn/pc-portable-tunisie/60490-pc-portable-lenovo-v15-igl-dual-core-4-go.html,https://www.tunisianet.com.tn/280357-home/pc-portable-lenovo-v15-igl-dual-core-4-go.jpg,"Ecran 15.6"" LED HD - Processeur Intel Celeron Dual Core N4020, up to 2.8 GHz, 4 Mo de mémoire cache - Mémoire 4 Go - Disque 240 Go SSD - Carte graphique Intel UHD Graphics 600 - Wifi - Bluetooth - 2x USB 3.1 Gen 1 - 1x HDMI - Lecteur de cartes - Webcam HD - Garantie 1 an",82C30009FE240SSD,"630,000 DT",En stock,,,
Pc Portable Lenovo IdeaPad 3 15IGL05 / Dual Core / 4 Go / Noir,https://www.tunisianet.com.tn/pc-portable-tunisie/60483-pc-portable-lenovo-ideapad-3-15igl05-dual-core-4-go-noir.html,https://www.tunisianet.com.tn/280332-home/pc-portable-lenovo-ideapad-3-15igl05-dual-core-4-go-noir.jpg,"Ecran 15.6"" HD LED - Processeur Intel Celeron Dual Core N4020, 2.8 Ghz, 4 Mo de mémoire cache - Mémoire 4 Go - Disque 128 SSD - Carte graphique Intel UHD Graphics - Wifi - Bluetooth 5.0 - Webcam HD avec Micro - HDMI - USB 3.2 - Couleur Noir - Garantie 1 an",81WQ0049FE128SSD,"634,000 DT",En stock,,,
Pc Portable Lenovo V15 IGL / Dual Core / 4 Go,https://www.tunisianet.com.tn/pc-portable-tunisie/60492-pc-portable-lenovo-v15-igl-dual-core-4-go.html,https://www.tunisianet.com.tn/280369-home/pc-portable-lenovo-v15-igl-dual-core-4-go.jpg,"Ecran 15.6"" LED HD - Processeur Intel Celeron Dual Core N4020, up to 2.8 GHz, 4 Mo de mémoire cache - Mémoire 4 Go - Disque 256 Go SSD - Carte graphique Intel UHD Graphics 600 - Wifi - Bluetooth - 2x USB 3.1 Gen 1 - 1x HDMI - Lecteur de cartes - Webcam HD - Garantie 1 an",82C30009FE256SSD,"640,000 DT",En stock,,,
Pc portable Asus X543MA / Dual Core / 4 Go / Gris + Sac à Dos,https://www.tunisianet.com.tn/pc-portable-tunisie/51234-pc-portable-asus-x543ma-dual-core-4-go-gris.html,https://www.tunisianet.com.tn/280413-home/pc-portable-asus-x543ma-dual-core-4-go-gris.jpg,"Ecran 15.6"" HD - Processeur Intel Celeron Dual Core N4020, up to 2.8 Ghz, 4 Mo de mémoire cache - Mémoire 4 Go - Disque 1 To - Intel HD Graphics - Lecteur de cartes - Wifi - Bluetooth - USB 3.1 - 2x USB 2.0 - HDMI - Webcam avec Micro - Windows 10 - Couleur Gris - Garantie 1 an + Sac à Dos Offert (SAD505-BK-BL)",X543MA-GQAR21T,"645,000 DT",En stock,,,
Pc Portable Lenovo IdeaPad 3 15IGL05 / Dual Core / 4 Go / Noir,https://www.tunisianet.com.tn/pc-portable-tunisie/60484-pc-portable-lenovo-ideapad-3-15igl05-dual-core-4-go-noir.html,https://www.tunisianet.com.tn/280336-home/pc-portable-lenovo-ideapad-3-15igl05-dual-core-4-go-noir.jpg,"Ecran 15.6"" HD LED - Processeur Intel Celeron Dual Core N4020, 2.8 Ghz, 4 Mo de mémoire cache - Mémoire 4 Go - Disque 240 Go SSD - Carte graphique Intel UHD Graphics - Wifi - Bluetooth 5.0 - Webcam HD avec Micro - HDMI - USB 3.2 - Couleur Noir - Garantie 1 an",81WQ0049FE240SSD,"645,000 DT",En stock,,,
Pc portable Asus X543MA-GQ1012T / Dual Core / 4 Go / Gris,https://www.tunisianet.com.tn/pc-portable-tunisie/50111-pc-portable-asus-x543ma-gq1012t-dual-core-4-go-gris.html,https://www.tunisianet.com.tn/205965-home/pc-portable-asus-x543ma-gq1012t-dual-core-4-go-gris.jpg,"Ecran 15.6"" HD - Processeur Intel Celeron Dual Core N4020, up to 2.8 Ghz, 4 Mo de mémoire cache - Mémoire 4 Go - Disque 1 To - Intel HD Graphics - Lecteur de cartes - Wifi - Bluetooth - USB 3.1 - 2x USB 2.0 - HDMI - Webcam avec Micro - Windows 10 - Couleur Gris- Garantie 1 an + Sac à Dos Offert (SAD505-BK-BL)",X543MA-GQ1012T,"645,000 DT",En stock,,,
Pc Portable Lenovo IdeaPad 3 15ADA05 FHD / AMD Dual Core / 4 Go / Gris,https://www.tunisianet.com.tn/pc-portable-tunisie/54446-pc-portable-lenovo-ideapad-3-15ada05-fhd-amd-dual-core-4-go-gris.html,https://www.tunisianet.com.tn/235980-home/pc-portable-lenovo-ideapad-3-15ada05-fhd-amd-dual-core-4-go-gris.jpg,"Ecran 15.6"" FHD LED - Processeur Dual Core AMD Athlon Silver 3050U (2C / 2T, 2.3 / 3.2GHz, 1MB L2 / 4MB L3) - Mémoire 4 Go - Disque 1 To - Carte graphique AMD Radeon Graphics Intégré - Wifi - Bluetooth 5.0 - Webcam HD avec Micro - HDMI - USB 2.0 -2x USB 3.2 - Couleur Gris - Garantie 1 an",81W101G3FG,"649,000 DT",En stock,,,
Pc Portable Lenovo IdeaPad 3 15ADA05 FHD / AMD Dual Core / 4 Go / Noir,https://www.tunisianet.com.tn/pc-portable-tunisie/54450-pc-portable-lenovo-ideapad-3-15ada05-fhd-amd-dual-core-4-go-noir.html,https://www.tunisianet.com.tn/235994-home/pc-portable-lenovo-ideapad-3-15ada05-fhd-amd-dual-core-4-go-noir.jpg,"Ecran 15.6"" FHD LED - Processeur Dual Core AMD Athlon Silver 3050U (2C / 2T, 2.3 / 3.2GHz, 1MB L2 / 4MB L3) - Mémoire 4 Go - Disque 1 To - Carte graphique AMD Radeon Graphics Intégré - Wifi - Bluetooth 5.0 - Webcam HD avec Micro - HDMI - 2x USB 3.2 - USB 2.0 - Couleur Noir - Garantie 1 an",81W101G5FG,"649,000 DT",En stock,,,
Pc Portable HP 15s-eq1003nk / AMD Dual Core / 4 Go / Noir,https://www.tunisianet.com.tn/pc-portable-tunisie/48008-pc-portable-hp-15s-eq1003nk-amd-dual-core-4-go-noir.html,https://www.tunisianet.com.tn/194311-home/pc-portable-hp-15s-eq1003nk-amd-dual-core-4-go-noir.jpg,"Ecran 15.6"" HD LED - Processeur AMD Dual Core 3020e, up to 2.6 Ghz, 4 Mo de mémoire cache - 4 Go de mémoire - Disque 256 Go SSD PCIe NVMe M.2 - Carte graphique AMD Radeon Intégrée - Lecteur de cartes - Webcam HD 720p HP True Vision - Wifi - Bluetooth - HDMI - 1x USB Type C - 2x USB 3.1 - Windows 10 - Couleur Noir - Garantie 1 an",262C4EA,"649,000 DT",En stock,"649,000 DT",En stock,https://www.mytek.tn/pc-portable-hp-15s-eq1003nk-amd-3020-e-4go-256go-ssd-noir.html
Pc Portable Lenovo IdeaPad 3 15ADA05 FHD / AMD Dual Core / 4 Go / Rouge,https://www.tunisianet.com.tn/pc-portable-tunisie/58311-pc-portable-lenovo-ideapad-3-15ada05-fhd-amd-dual-core-4-go-rouge.html,https://www.tunisianet.com.tn/264329-home/pc-portable-lenovo-ideapad-3-15ada05-fhd-amd-dual-core-4-go-rouge.jpg,"Ecran 15.6"" FHD LED - Processeur Dual Core AMD Athlon Silver 3050U (2C / 2T, 2.3 / 3.2GHz, 1MB L2 / 4MB L3) - Mémoire 4 Go - Disque 1 To - Carte graphique AMD Radeon Graphics Intégré - Wifi - Bluetooth 5.0 - Webcam HD avec Micro - HDMI - 2x USB 3.2 - USB 2.0 - Couleur Rouge - Garantie 1 an",81W101G4FG,"649,000 DT",En stock,"649,000 DT",En stock,https://www.mytek.tn/pc-portable-lenovo-ideapad-3-15ada05-amd-athlon-4go-1to-rouge.html
PC Portable Lenovo V15 / AMD 3020e / 8 Go,https://www.tunisianet.com.tn/pc-portable-tunisie/61331-pc-portable-lenovo-v15-amd-3020e-8-go.html,https://www.tunisianet.com.tn/284574-home/pc-portable-lenovo-v15-amd-3020e-8-go.jpg,"Ecran 15.6"" LED HD - Processeur AMD 3020e , up to 2.6 GHz, 4 Mo de cache - Mémoire 8 Go - Disque SSD 128Go - Carte graphique AMD Radeon Graphics - Wifi - Bluetooth - Lecteur de cartes - HDMI - 2x USB 3.1 - 1x USB 2.0 - Webcam HD - Couleur Gris - Garantie 1 an",82C7007YFE128SSD-8,"650,000 DT",En stock,,,
Pc Portable Lenovo IdeaPad 3 15IGL05 / Dual Core / 4 Go / Noir,https://www.tunisianet.com.tn/pc-portable-tunisie/60487-pc-portable-lenovo-ideapad-3-15igl05-dual-core-4-go-noir.html,https://www.tunisianet.com.tn/280346-home/pc-portable-lenovo-ideapad-3-15igl05-dual-core-4-go-noir.jpg,"Ecran 15.6"" HD LED - Processeur Intel Celeron Dual Core N4020, 2.8 Ghz, 4 Mo de mémoire cache - Mémoire 4 Go - Disque 256 Go SSD - Carte graphique Intel UHD Graphics - Wifi - Bluetooth 5.0 - Webcam HD avec Micro - HDMI - USB 3.2 - Couleur Noir - Garantie 1 an",81WQ0049FE256SSD,"655,000 DT",En stock,,,
Pc portable Asus X543MA-GQ1393W / Dual Core / 8 Go / Gris,https://www.tunisianet.com.tn/pc-portable-tunisie/60350-pc-portable-asus-x543ma-gq1393w-dual-core-8-go-gris.html,https://www.tunisianet.com.tn/279375-home/pc-portable-asus-x543ma-gq1393w-dual-core-8-go-gris.jpg,"Ecran 15.6"" HD - Processeur Intel Celeron Dual Core N4020, up to 2.8 Ghz, 4 Mo de mémoire cache - Mémoire 8 Go - Disque 1 To - Intel HD Graphics - Lecteur de cartes - Wifi - Bluetooth - USB 3.1 - 2x USB 2.0 - HDMI - Webcam avec Micro - Windows 10 - Couleur Gris- Garantie 1 an",X543MA-GQ1393W,"659,000 DT",En stock,"659,000 DT",En stock,https://www.mytek.tn/pc-portable-asus-x543ma-celeron-n4020-8go-1to-gris.html
PC Portable Lenovo V15 / AMD 3020e / 8 Go,https://www.tunisianet.com.tn/pc-portable-tunisie/61332-pc-portable-lenovo-v15-amd-3020e-8-go.html,https://www.tunisianet.com.tn/284579-home/pc-portable-lenovo-v15-amd-3020e-8-go.jpg,"Ecran 15.6"" LED HD - Processeur AMD 3020e , up to 2.6 GHz, 4 Mo de cache - Mémoire 8 Go - Disque SSD 256 Go - Carte graphique AMD Radeon Graphics - Wifi - Bluetooth - Lecteur de cartes - HDMI - 2x USB 3.1 - 1x USB 2.0 - Webcam HD - Couleur Gris - Garantie 1 an",82C7007YFE256SSD-8,"665,000 DT",En stock,,,
Pc Portable HP 15-dw1001nk / Dual Core / 4 Go,https://www.tunisianet.com.tn/pc-portable-tunisie/47112-pc-portable-hp-15-dw1001nk-dual-core-4-go-bon-de-reduction-50-dt.html,https://www.tunisianet.com.tn/190060-home/pc-portable-hp-15-dw1001nk-dual-core-4-go-bon-de-reduction-50-dt.jpg,"Ecran 15.6"" LED HD - Processeur Intel Core Celeron N4020 , up to 2.8 GHz, 4 Mo de cache - 4 Go de mémoire - Disque 1 To - Carte graphique Intel UHD Graphics 600 - Wifi - Bluetooth - Ethernet - 1x USB 3.1 Type-C - 2x USB 3.1 - 1x HDMI - 1x RJ45 - Lecteur de cartes SD - Webcam HD - Windows 10 - Couleur Gris - Garantie 1 an",27Z73EA,"669,000 DT",En stock,"669,000 DT",En stock,https://www.mytek.tn/pc-portable-hp-15-dw1001nk-n4020-4g-1to-gris.html
Pc Portable Lenovo V15 IGL / Dual Core / 8 Go,https://www.tunisianet.com.tn/pc-portable-tunisie/60295-pc-portable-lenovo-v15-igl-dual-core-8-go.html,https://www.tunisianet.com.tn/279056-home/pc-portable-lenovo-v15-igl-dual-core-8-go.jpg,"Ecran 15.6"" LED HD - Processeur Intel Celeron Dual Core N4020, up to 2.8 GHz, 4 Mo de mémoire cache - Mémoire 8 Go - Disque 256 Go SSD - Carte graphique Intel UHD Graphics 600 - Wifi - Bluetooth 5.0 - USB 2.0 - 2x USB 3.1 Gen 1 - 1x HDMI - Dolby Audio - Lecteur de cartes 4en1 - Webcam HD - Garantie 1 an",82C3008DFE,"679,000 DT",En stock,"679,000 DT",En stock,https://www.mytek.tn/pc-portable-lenovo-v15-igl-intel-celeron-n4020-8g-256go-ssd-gris.html
Pc portable ASUS Vivobook E510MA / Dual Core / 4 Go / Blanc + Sac à Dos Offert,https://www.tunisianet.com.tn/pc-portable-tunisie/55252-pc-portable-asus-vivobook-e510ma-dual-core-4-go-blanc.html,https://www.tunisianet.com.tn/283285-home/pc-portable-asus-vivobook-e510ma-dual-core-4-go-blanc.jpg,"Ecran 15.6"" HD LED - Processeur Intel Celeron N4020, up to 2.8 GHz, 4 Mo de Mémoire Cache - Mémoire 4 Go - Disque 128 Go SSD - Carte graphique Intel UHD Graphics - Wifi - Bluetooth - Webcam - 1x USB 2.0 - 1x USB 3.2 - 1x Type-C USB 3.2 - HDMI - Lecteur de cartes - Clavier Chiclet - Windows 11 - Couleur Blanc - Garantie 1 an + Sac à Dos Offert (SAD505-BK-BL)",E510MA-BR849W,"679,000 DT",En stock,"679,000 DT",Epuisé,https://www.mytek.tn/pc-portable-asus-e510ma-intel-celeron-n4020-4go-128-go-emmc-blanc-e510ma-br849w.html
Pc portable ASUS Vivobook E510MA / Dual Core / 4 Go / Rose + Sac à Dos Offert,https://www.tunisianet.com.tn/pc-portable-tunisie/58102-pc-portable-asus-vivobook-e510ma-dual-core-4-go-rose-bon-de-reduction-50-dt.html,https://www.tunisianet.com.tn/283284-home/pc-portable-asus-vivobook-e510ma-dual-core-4-go-rose-bon-de-reduction-50-dt.jpg,"Ecran 15.6"" HD LED - Processeur Intel Celeron N4020, up to 2.8 GHz, 4 Mo de Mémoire Cache - Mémoire 4 Go - Disque 128 Go SSD - Carte graphique Intel UHD Graphics - Wifi - Bluetooth - Webcam - 1x USB 2.0 - 1x USB 3.2 - 1x Type-C USB 3.2 - HDMI - Lecteur de cartes - Clavier Chiclet - Windows 11 - Couleur Rose - Garantie 1 an + Sac à Dos Offert (SAD505-BK-BL)",E510MA-BR850W,"679,000 DT",En stock,,,
Pc portable ASUS Vivobook E510MA / Dual Core / 4 Go / Bleu,https://www.tunisianet.com.tn/pc-portable-tunisie/54253-pc-portable-asus-vivobook-e510ma-dual-core-4-go-bleu.html,https://www.tunisianet.com.tn/280421-home/pc-portable-asus-vivobook-e510ma-dual-core-4-go-bleu.jpg,"Ecran 15.6"" HD LED - Processeur Intel Celeron N4020, up to 2.8 GHz, 4 Mo de Mémoire Cache - Mémoire 4 Go - Disque 128 Go SSD - Carte graphique Intel UHD Graphics - Wifi - Bluetooth - Webcam - 1x USB 2.0 - 1x USB 3.2 - 1x Type-C USB 3.2 - HDMI - Lecteur de cartes - Clavier Chiclet - Windows 11 - Couleur Bleu - Garantie 1 an + Sac à Dos Offert (SAD505-BK-BL)",E510MA-BR633W,"679,000 DT",En stock,"679,000 DT",En stock,https://www.mytek.tn/pc-portable-asus-e510ma-intel-celeron-n4020-4go-128-go-emmc-bleu-e510ma-br633w.html
Pc portable Asus X543MA / Dual Core / 4 Go / 256 Go SSD / Gris + Sac à Dos Offert,https://www.tunisianet.com.tn/pc-portable-tunisie/57137-pc-portable-asus-x543ma-dual-core-4-go-256-go-ssd-gris.html,https://www.tunisianet.com.tn/284619-home/pc-portable-asus-x543ma-dual-core-4-go-256-go-ssd-gris.jpg,"Ecran 15.6"" HD - Processeur Intel Celeron Dual Core N4020, up to 2.8 Ghz, 4 Mo de mémoire cache - Mémoire 4 Go - Disque 256 Go SSD - Intel HD Graphics - Lecteur de cartes - Wifi - Bluetooth - USB 3.1 - 2x USB 2.0 - HDMI - Webcam avec Micro - Windows 10 - Couleur Gris - Garantie 1 an + Sac à Dos Offert (SAD505-BK-BL)",X543-GQAR21T256SSD,"685,000 DT",En stock,,,
Pc Portable Lenovo IdeaPad 3 15ADA05 FHD / AMD Dual Core / 8 Go / Rouge,https://www.tunisianet.com.tn/pc-portable-tunisie/58312-pc-portable-lenovo-ideapad-3-15ada05-fhd-amd-dual-core-8-go-rouge.html,https://www.tunisianet.com.tn/264324-home/pc-portable-lenovo-ideapad-3-15ada05-fhd-amd-dual-core-8-go-rouge.jpg,"Ecran 15.6"" FHD LED - Processeur Dual Core AMD Athlon Silver 3050U (2C / 2T, 2.3 / 3.2GHz, 1MB L2 / 4MB L3) - Mémoire 8 Go - Disque 1 To - Carte graphique AMD Radeon Graphics Intégré - Wifi - Bluetooth 5.0 - Webcam HD avec Micro - HDMI - 2x USB 3.2 - USB 2.0 - Couleur Rouge - Garantie 1 an",81W101G4FG-8,"685,000 DT",En stock,,,
Pc Portable Lenovo IdeaPad 3 15ADA05 FHD / AMD Dual Core / 8 Go / Noir,https://www.tunisianet.com.tn/pc-portable-tunisie/54451-pc-portable-lenovo-ideapad-3-15ada05-fhd-amd-dual-core-8-go-noir.html,https://www.tunisianet.com.tn/235998-home/pc-portable-lenovo-ideapad-3-15ada05-fhd-amd-dual-core-8-go-noir.jpg,"Ecran 15.6"" FHD LED - Processeur Dual Core AMD Athlon Silver 3050U (2C / 2T, 2.3 / 3.2GHz, 1MB L2 / 4MB L3) - Mémoire 8 Go - Disque 1 To - Carte graphique AMD Radeon Graphics Intégré - Wifi - Bluetooth 5.0 - Webcam HD avec Micro - HDMI - 2x USB 3.2 - USB 2.0 - Couleur Noir - Garantie 1 an",81W101G5FG-8,"685,000 DT",En stock,,,
